
1, hjnm, raunak, 11:41:20, 06/05/2023, Present
2, hjnm, muskan, 11:43:01, 06/05/2023, Present
3, hjnm, dilawar, 11:47:07, 06/05/2023, Present
4, hjnm, nima, 11:53:47, 06/05/2023, Present
None, None, None, 18:42:46, 06/05/2023, Present
('1',), ('hjnm',), ('raunak',), 18:42:53, 06/05/2023, Present
6, hjnm, random4, 01:14:23, 07/05/2023, Present
7, hjnm, random, 01:14:25, 07/05/2023, Present
9, hjnm, random3, 01:14:28, 07/05/2023, Present
13, hjnm, random4, 01:19:19, 07/05/2023, Present
234, dvfbg, frgfbg, 19:21:30, 17/08/2023, Present
